#velocity	error_velocity	radius
108.07018221    39.353467052    2.544
108.05619828    39.34837484    2.545
108.04222623    39.343286955    2.546
108.0282382    39.33819325    2.547
108.01426501    39.333104952    2.548
108.00029    39.328015989    2.549
107.98631088    39.322925531    2.55
107.97233657    39.317836822    2.551
107.95835335    39.31274487    2.552
107.94436602    39.307651422    2.553
107.93038874    39.302561634    2.554
107.9164133    39.297472515    2.555
107.902439    39.29238381    2.556
107.88845945    39.287293196    2.557
107.87449704    39.282208819    2.558
107.86051339    39.27711671    2.559
107.84653088    39.272025017    2.56
107.83256025    39.26693765    2.561
107.81857957    39.261846625    2.562
107.80459593    39.256754519    2.563
107.7906212    39.251665659    2.564
107.77664236    39.246575302    2.565
107.76266467    39.241485362    2.566
107.74869588    39.236398666    2.567
107.73472299    39.231310475    2.568
107.72074005    39.226218625    2.569
107.70676899    39.221131102    2.57
107.69278903    39.216040335    2.571
107.678815    39.210951731    2.572
107.66484098    39.205863129    2.573
107.65086879    39.200775193    2.574
107.63689066    39.195685095    2.575
107.62291847    39.19059716    2.576
107.60894218    39.18550773    2.577
107.59496999    39.180419796    2.578
107.58100375    39.175334026    2.579
107.56702632    39.170244182    2.58
107.55305003    39.165154754    2.581
107.53907557    39.160065993    2.582
107.52509404    39.154974654    2.583
107.51112552    39.149888056    2.584
107.49714696    39.1447978    2.585
107.48317844    39.139711203    2.586
107.46920879    39.134624192    2.587
107.45523914    39.129537181    2.588
107.44127543    39.124452333    2.589
107.42729276    39.119360582    2.59
107.41332495    39.114274239    2.591
107.39934411    39.109183155    2.592
107.38537629    39.104096812    2.593
107.37140437    39.099008974    2.594
107.3574425    39.093924794    2.595
107.34346349    39.088834378    2.596
107.32949751    39.083748703    2.597
107.31552856    39.078661947    2.598
107.30155436    39.073573279    2.599
107.28758427    39.068486109    2.6
107.27362012    39.063401101    2.601
107.25964889    39.058313515    2.602
107.24567766    39.05322593    2.603
107.2317094    39.048139427    2.604
107.21774412    39.043054005    2.605
107.20377883    39.037968583    2.606
107.1898124    39.032882746    2.607
107.17584598    39.02779691    2.608
107.16187955    39.022711073    2.609
107.14790902    39.01762374    2.61
107.13393551    39.012535327    2.611
107.11998691    39.007455979    2.612
107.10602231    39.002370809    2.613
107.09204767    38.99728198    2.614
107.07809495    38.992201136    2.615
107.06412328    38.987113389    2.616
107.05016052    38.982028886    2.617
107.03619661    38.976943968    2.618
107.02223088    38.971858384    2.619
107.0082599    38.966770888    2.62
106.99430901    38.96169071    2.621
106.98034511    38.956605793    2.622
106.96638304    38.951521541    2.623
106.95241502    38.946435126    2.624
106.938463    38.941354534    2.625
106.92450686    38.936272445    2.626
106.91054182    38.931187113    2.627
106.89657564    38.926101364    2.628
106.88262544    38.921021438    2.629
106.86866406    38.915937437    2.63
106.85470084    38.91085277    2.631
106.84074654    38.905771347    2.632
106.82679223    38.900689925    2.633
106.81282674    38.895604427    2.634
106.79887129    38.890522588    2.635
106.78492293    38.885443328    2.636
106.77096337    38.880359993    2.637
106.75701386    38.875280317    2.638
106.74305727    38.870198063    2.639
106.72909064    38.86511215    2.64
106.71515004    38.860035718    2.641
106.70118226    38.854949389    2.642
106.68724052    38.849872542    2.643
106.67329581    38.844794613    2.644
106.65933694    38.839711528    2.645
106.64537807    38.834628442    2.646
106.63142925    38.829549017    2.647
106.61748636    38.824471753    2.648
106.6035364    38.819391912    2.649
106.58957342    38.81430733    2.65
106.5756294    38.80922965    2.651
106.56168537    38.804151971    2.652
106.54774432    38.799075373    2.653
106.53378316    38.793991456    2.654
106.51983799    38.788913361    2.655
106.50588872    38.783833769    2.656
106.49194652    38.778756755    2.657
106.47800135    38.77367866    2.658
106.46405504    38.768600149    2.659
106.45010759    38.763521222    2.66
106.43616425    38.758443792    2.661
106.4222168    38.753364865    2.662
106.40826638    38.748284857    2.663
106.39433491    38.743211751    2.664
106.38039043    38.738133905    2.665
106.36645485    38.733059302    2.666
106.35250923    38.72798104    2.667
106.33857068    38.722905357    2.668
106.32462095    38.717825597    2.669
106.31068423    38.712750578    2.67
106.29674454    38.707674478    2.671
106.28281079    38.702600541    2.672
106.26886996    38.697524025    2.673
106.25492913    38.692447508    2.674
106.24099835    38.687374652    2.675
